,country,human_index,usage,continent
0,Argentina,0.825,79.6837333121868,SouthAmerica
1,Australia,0.939,243.929347309991,AustraliaAndOceania
2,Austria,0.908,167.417240569142,Europe
3,Azerbaijan,0.757,60.7385638983399,Asia
4,Bangladesh,0.608,9.00809623540635,Asia
5,Belarus,0.808,108.76731065749,Europe
6,Belgium,0.916,226.441213015387,Europe
7,Brazil,0.759,59.0877523969654,SouthAmerica
8,Bulgaria,0.813,110.513456217865,Europe
9,Canada,0.926,390.226831009587,NorthAmerica
10,Chile,0.843,92.2554211454294,SouthAmerica
11,China,0.752,96.8544058614284,Asia
12,China Hong Kong SAR,0.933,175.13024764213,Asia
13,Colombia,0.749,39.7381135826402,SouthAmerica
14,Croatia,0.831,86.8392637551392,Europe
15,Cyprus,0.869,98.0270708039867,Europe
16,Czech Republic,0.888,165.965269628593,Europe
17,Denmark,0.929,123.46520903873,Europe
18,Ecuador,0.752,43.7631792021935,Africa
19,Egypt,0.696,39.8284089896939,Africa
20,Estonia,0.871,221.218872067946,Europe
21,Finland,0.92,221.078442369017,Europe
22,France,0.901,155.703078738751,Europe
23,Germany,0.936,164.783357430638,Europe
24,Greece,0.87,106.442035254049,Europe
25,Hungary,0.838,102.495247928689,Europe
26,Iceland,0.935,696.360362917883,Europe
27,India,0.64,25.0194392180113,Asia
28,Indonesia,0.694,29.1151236442437,Asia
29,Iran,0.798,145.862824968963,Asia
30,Iraq,0.685,57.2028834693666,Asia
31,Ireland,0.938,140.30995205734,Europe
32,Israel,0.903,127.004885204936,Asia
33,Italy,0.88,109.089774274087,Europe
34,Japan,0.909,149.498281201154,Asia
35,Kazakhstan,0.8,173.767124154549,Asia
36,Kuwait,0.803,388.588804567807,Africa
37,Latvia,0.847,79.8279040810801,Europe
38,Lithuania,0.858,85.1015867614868,Europe
39,Luxembourg,0.904,282.809364134322,Europe
40,Malaysia,0.802,129.748499437286,Asia
41,Mexico,0.774,59.8482963856016,SouthAmerica
42,Morocco,0.667,24.2893078559445,Africa
43,Netherlands,0.931,207.786320829865,Europe
44,New Zealand,0.917,191.629159494829,AustraliaAndOceania
45,North Macedonia,0.757,53.1287830012608,Europe
46,Norway,0.953,370.561782472689,Europe
47,Oman,0.821,266.026923020913,Asia
48,Pakistan,0.562,17.72861174388,Asia
49,Peru,0.75,34.7321532946062,SouthAmerica
50,Philippines,0.699,18.4870431305423,Asia
51,Poland,0.865,115.535417723197,Europe
52,Portugal,0.847,105.65585076063,Europe
53,Qatar,0.856,749.734793843712,Asia
54,Romania,0.811,71.4112804043954,Europe
55,Russian Federation,0.816,209.609168703324,Asia
56,Saudi Arabia,0.853,323.406777656966,Asia
57,Singapore,0.932,632.992879842341,Asia
58,Slovakia,0.855,125.35862399753,Europe
59,Slovenia,0.896,141.352422424674,Europe
60,South Korea,0.77,246.326910554849,Asia
61,Spain,0.891,127.557981263087,Europe
62,Sri Lanka,0.77,16.1985551737531,Asia
63,Sweden,0.933,224.830890852406,Europe
64,Switzerland,0.944,136.303363815003,Europe
65,Thailand,0.755,80.4703046739109,Asia
66,Trinidad & Tobago,0.734,465.509303050103,Africa
67,Turkey,0.791,78.4749795014231,Asia
68,Turkmenistan,0.706,225.418836363042,Asia
69,Ukraine,0.751,79.9181858227871,Europe
70,United Arab Emirates,0.862,492.342108229546,Asia
71,United Kingdom,0.922,120.927678515066,Europe
72,US,0.924,294.776651821103,NorthAmerica
73,Uzbekistan,0.71,56.8033995820773,Asia
74,Venezuela,0.761,83.5783111011984,SouthAmerica
75,Vietnam,0.694,37.2234677405781,Asia
